ImageNumber,ObjectNumber,Distance_Centroid_Cells,Distance_Centroid_Nuclei,Parent_Cells,Parent_Nuclei
1,400,84.93538798141269,82.0408959647619,3,3
1,401,76.40163518972103,69.54044613654239,4,4
1,402,16.270325244958002,37.043467962710665,4,4
1,403,7.955860370658847,40.22923663104816,4,4
1,404,69.14444571876804,68.97511799748473,5,5
1,405,61.23331756756208,60.15681242700296,3,3
1,406,33.02602498961677,39.54318267803751,4,4
1,407,21.822435546583485,35.23856169795119,4,4
1,408,69.95386899699427,67.3465713690636,5,5
1,409,69.42332102348404,68.04173363629839,5,5
1,410,68.39222314513144,70.31290397566409,5,5
1,411,16.006714564503806,28.538356172327013,3,3
1,412,21.848806612655277,30.828273630514502,3,3
1,413,67.38776765251679,66.03619317578034,3,3
1,414,36.16147557473851,39.693372878415104,4,4
1,415,72.3822570607361,67.07969477534938,5,5
1,416,67.38196833479343,71.36384614299938,5,5
1,417,34.7656002283611,49.76075057026571,3,3
1,418,12.25114160096223,27.618785823516703,3,3
1,419,18.374670152720974,29.672157395391288,3,3
1,420,34.7750310452877,39.31651936284492,3,3
1,421,54.37618578774007,49.52429187812517,4,4
1,422,38.15327527829238,39.79736190947519,4,4
1,423,31.809906411891628,35.105046959064694,4,4
1,424,12.948227145122567,35.603767556806055,4,4
1,425,14.824482811457607,44.436499728951546,4,4
1,426,80.98077574683094,71.65492354082512,5,5
1,427,31.209400462721895,36.93178968382479,3,3
1,428,47.52143221113361,44.599940974900186,4,4
1,429,13.098576601175777,33.847356842005674,3,3
1,430,46.50756608609681,49.07055906745346,3,3
1,431,65.88710637196361,65.7894021798136,3,3
1,432,58.77856657596717,51.83104890876913,4,4
1,433,18.76243456981865,32.998589491070575,4,4
1,434,70.78280564107094,64.64661087389038,5,5
1,435,66.93797526320401,63.509695912510544,5,5
1,436,29.473865358353766,46.14865910686087,3,3
1,437,11.672312738737936,31.048405015614968,3,3
1,438,44.550641854697915,39.09883440036913,4,4
1,439,22.95282554782412,29.899246402620307,4,4
1,440,78.67072039393962,68.84990068595098,5,5
1,441,62.80324990396662,63.388534400536095,5,5
1,442,21.420207819282286,40.628942274062595,3,3
1,443,16.254879397508347,36.28178650820155,3,3
